estrutura time amostra
LSM 18648 1000
LSM 19765 1000
LSM 25003 1000
LSM 24375 1000
LSM 23327 1000
LSM 21581 1000
LSM 32267 1000
LSM 22419 1000
LSM 23607 1000
LSM 20603 1000
LSM 18997 1000
LSM 18508 1000
LSM 25003 1000
LSM 25283 1000
LSM 23467 1000
LSM 24235 1000
LSM 20952 1000
LSM 19695 1000
LSM 25702 1000
LSM 34711 1000
LSM 43441 1000
LSM 17251 1000
LSM 20393 1000
LSM 38064 1000
LSM 32407 1000
LSM 21860 1000
LSM 20464 1000
LSM 23676 1000
LSM 17531 1000
LSM 19556 1000
LSM 18718 1000
LSM 21861 1000
LSM 23467 1000
LSM 18718 1000
LSM 17810 1000
LSM 20464 1000
LSM 18577 1000
LSM 21371 1000
LSM 20952 1000
LSM 21372 1000
LSM 21022 1000
LSM 20114 1000
LSM 17600 1000
LSM 25213 1000
LSM 23396 1000
LSM 40927 1000
LSM 20114 1000
LSM 23676 1000
LSM 23676 1000
LSM 22908 1000
LSM 18997 1000
LSM 18648 1000
LSM 17740 1000
LSM 19905 1000
LSM 23886 1000
LSM 21372 1000
LSM 18439 1000
LSM 18089 1000
LSM 19556 1000
LSM 18299 1000
LSM 21931 1000
LSM 14876 1000
LSM 19904 1000
LSM 14667 1000
LSM 24794 1000
LSM 20464 1000
LSM 17041 1000
LSM 20603 1000
LSM 21511 1000
LSM 17740 1000
LSM 17042 1000
LSM 48539 1000
LSM 17321 1000
LSM 21023 1000
LSM 18996 1000
LSM 21511 1000
LSM 22070 1000
LSM 32267 1000
LSM 13480 1000
LSM 19625 1000
LSM 19486 1000
LSM 21930 1000
LSM 17600 1000
LSM 17181 1000
LSM 22000 1000
LSM 18578 1000
LSM 18578 1000
LSM 16693 1000
LSM 34362 1000
LSM 24724 1000
LSM 22279 1000
LSM 17111 1000
LSM 19905 1000
LSM 15714 1000
LSM 18019 1000
LSM 19556 1000
LSM 15994 1000
LSM 18857 1000
LSM 15086 1000
LSM 19136 1000
LSM 14247 1000
LSM 27168 1000
LSM 22350 1000
LSM 18648 1000
LSM 20394 1000
LSM 19136 1000
LSM 16063 1000
LSM 20115 1000
LSM 20324 1000
LSM 18229 1000
LSM 19626 1000
LSM 21302 1000
LSM 17111 1000
LSM 19207 1000
LSM 18369 1000
LSM 17320 1000
LSM 16971 1000
LSM 19905 1000
LSM 18927 1000
LSM 15366 1000
LSM 17111 1000
LSM 20883 1000
LSM 19905 1000
LSM 18578 1000
LSM 27657 1000
LSM 19206 1000
LSM 18020 1000
LSM 18159 1000
LSM 17041 1000
LSM 18717 1000
LSM 21581 1000
LSM 21093 1000
LSM 19136 1000
LSM 18648 1000
LSM 26121 1000
LSM 20534 1000
LSM 18578 1000
LSM 18508 1000
LSM 42743 1000
LSM 18020 1000
LSM 14667 1000
LSM 21302 1000
LSM 17601 1000
LSM 48749 1000
LSM 19416 1000
LSM 17879 1000
LSM 15226 1000
LSM 17530 1000
LSM 16133 1000
LSM 14387 1000
LSM 15296 1000
LSM 19765 1000
LSM 18717 1000
LSM 17181 1000
LSM 16831 1000
LSM 26679 1000
LSM 17669 1000
LSM 18019 1000
LSM 15295 1000
LSM 19626 1000
LSM 21861 1000
LSM 22558 1000
LSM 23816 1000
LSM 20115 1000
LSM 17670 1000
LSM 18438 1000
LSM 19066 1000
LSM 44000 1000
LSM 21511 1000
LSM 18508 1000
LSM 18927 1000
LSM 33384 1000
LSM 18647 1000
LSM 13829 1000
LSM 15225 1000
LSM 24305 1000
LSM 14736 1000
LSM 14457 1000
LSM 13828 1000
LSM 18578 1000
LSM 20045 1000
LSM 19835 1000
LSM 18158 1000
LSM 14597 1000
LSM 17250 1000
LSM 18368 1000
LSM 18159 1000
LSM 16831 1000
LSM 18368 1000
LSM 13200 1000
LSM 13898 1000
LSM 14806 1000
LSM 15155 1000
LSM 14806 1000
LSM 15156 1000
LSM 21790 1000
LSM 19626 1000
LSM 18577 1000
LSM 51054 1000
LSM 27657 1000
LSM 25702 1000
LSM 16622 1000
LSM 16133 1000
LSM 15645 1000
LSM 17949 1000
LSM 39531 1000
LSM 14248 1000
LSM 22350 1000
LSM 17111 1000
LSM 17530 1000
LSM 19695 1000
LSM 12362 1000
LSM 19486 1000
LSM 18997 1000
LSM 12013 1000
LSM 17251 1000
LSM 20114 1000
LSM 17111 1000
LSM 17251 1000
LSM 20464 1000
LSM 18578 1000
LSM 15086 1000
LSM 17600 1000
LSM 16203 1000
LSM 14876 1000
LSM 15645 1000
LSM 14247 1000
LSM 13969 1000
LSM 14946 1000
LSM 13968 1000
LSM 17251 1000
LSM 33314 1000
LSM 15296 1000
LSM 19137 1000
LSM 18159 1000
LSM 17530 1000
LSM 13829 1000
LSM 9988 1000
LSM 12432 1000
LSM 12641 1000
LSM 10407 1000
LSM 15435 1000
LSM 10825 1000
LSM 17251 1000
LSM 16553 1000
LSM 13689 1000
LSM 15714 1000
LSM 19136 1000
LSM 16901 1000
LSM 12502 1000
LSM 24864 1000
LSM 15645 1000
LSM 16274 1000
LSM 19556 1000
LSM 17111 1000
LSM 16762 1000
LSM 13689 1000
LSM 11523 1000
LSM 18019 1000
LSM 15225 1000
LSM 17530 1000
LSM 17600 1000
LSM 41626 1000
LSM 16133 1000
LSM 17251 1000
LSM 18019 1000
LSM 17251 1000
LSM 18019 1000
LSM 16622 1000
LSM 15994 1000
LSM 16693 1000
LSM 13759 1000
LSM 20883 1000
LSM 18229 1000
LSM 15714 1000
LSM 14318 1000
LSM 18299 1000
LSM 16832 1000
LSM 30032 1000
LSM 17111 1000
LSM 17600 1000
LSM 21930 1000
LSM 20673 1000
LSM 54825 1000
LSM 19067 1000
LSM 18508 1000
LSM 16762 1000
LSM 17600 1000
LSM 17600 1000
LSM 15784 1000
LSM 14247 1000
LSM 35270 1000
LSM 15574 1000
LSM 13898 1000
LSM 16273 1000
LSM 16832 1000
LSM 15854 1000
LSM 13828 1000
LSM 13828 1000
LSM 14387 1000
LSM 11873 1000
LSM 16553 1000
LSM 16972 1000
LSM 16343 1000
LSM 13340 1000
LSM 28077 1000
LSM 27658 1000
LSM 20603 1000
LSM 18089 1000
LSM 16622 1000
LSM 13479 1000
LSM 13270 1000
LSM 13409 1000
LSM 43791 1000
LSM 19136 1000
LSM 15366 1000
LSM 12991 1000
LSM 15295 1000
LSM 17111 1000
LSM 21930 1000
LSM 17530 1000
LSM 13340 1000
LSM 17041 1000
LSM 34851 1000
LSM 12432 1000
LSM 12362 1000
LSM 31429 1000
LSM 21581 1000
LSM 15435 1000
LSM 17251 1000
LSM 16273 1000
LSM 20952 1000
LSM 16971 1000
LSM 250033 1000
LSM 52032 1000
LSM 19486 1000
LSM 17530 1000
LSM 22489 1000
LSM 22908 1000
LSM 16273 1000
LSM 16762 1000
LSM 19625 1000
LSM 18229 1000
LSM 14108 1000
LSM 14736 1000
LSM 37156 1000
LSM 15155 1000
LSM 21302 1000
LSM 20044 1000
LSM 15156 1000
LSM 15854 1000
LSM 20115 1000
LSM 17391 1000
LSM 15086 1000
LSM 42324 1000
LSM 20393 1000
LSM 18508 1000
LSM 19905 1000
LSM 25842 1000
LSM 17600 1000
LSM 19207 1000
LSM 16622 1000
LSM 17739 1000
LSM 12851 1000
LSM 45607 1000
LSM 15365 1000
LSM 17669 1000
LSM 22280 1000
LSM 18089 1000
LSM 17111 1000
LSM 17111 1000
LSM 47353 1000
LSM 18089 1000
LSM 15715 1000
LSM 17949 1000
LSM 15365 1000
LSM 16901 1000
LSM 34362 1000
LSM 15365 1000
LSM 17530 1000
LSM 15085 1000
LSM 17669 1000
LSM 33804 1000
LSM 17600 1000
LSM 22000 1000
LSM 20673 1000
LSM 25492 1000
LSM 16762 1000
LSM 16134 1000
LSM 17740 1000
LSM 14317 1000
LSM 16063 1000
LSM 12921 1000
LSM 19206 1000
LSM 41905 1000
LSM 14247 1000
LSM 19136 1000
LSM 18648 1000
LSM 18508 1000
LSM 15715 1000
LSM 17251 1000
LSM 20115 1000
LSM 14038 1000
LSM 17251 1000
LSM 18647 1000
LSM 23397 1000
LSM 7611334 1000
LSM 13480 1000
LSM 13270 1000
LSM 14877 1000
LSM 13550 1000
LSM 14248 1000
LSM 14736 1000
LSM 13689 1000
LSM 11314 1000
LSM 11384 1000
LSM 14387 1000
LSM 11804 1000
LSM 17111 1000
LSM 16692 1000
LSM 13829 1000
LSM 12432 1000
LSM 14457 1000
LSM 14248 1000
LSM 21372 1000
LSM 13270 1000
LSM 14318 1000
LSM 11943 1000
LSM 15016 1000
LSM 13270 1000
LSM 12432 1000
LSM 28635 1000
LSM 29124 1000
LSM 12432 1000
LSM 10965 1000
LSM 10895 1000
LSM 11384 1000
LSM 11804 1000
LSM 14388 1000
LSM 12851 1000
LSM 17041 1000
LSM 15156 1000
LSM 19207 1000
LSM 14667 1000
LSM 14178 1000
LSM 16622 1000
LSM 14178 1000
LSM 14388 1000
LSM 16901 1000
LSM 12083 1000
LSM 13758 1000
LSM 15365 1000
LSM 17041 1000
LSM 15295 1000
LSM 13130 1000
LSM 19486 1000
LSM 16342 1000
LSM 16692 1000
LSM 14736 1000
LSM 36667 1000
LSM 15156 1000
LSM 17879 1000
LSM 16832 1000
LSM 14248 1000
LSM 16133 1000
LSM 16692 1000
LSM 14877 1000
LSM 14946 1000
LSM 16134 1000
LSM 13619 1000
LSM 14527 1000
LSM 14387 1000
LSM 15016 1000
LSM 16203 1000
LSM 13829 1000
LSM 16832 1000
LSM 133607 1000
LSM 34362 1000
LSM 15645 1000
LSM 15784 1000
LSM 14736 1000
LSM 14318 1000
LSM 15504 1000
LSM 17670 1000
LSM 18228 1000
LSM 46444 1000
LSM 15295 1000
LSM 18718 1000
LSM 15994 1000
LSM 18438 1000
LSM 16133 1000
LSM 18997 1000
LSM 15365 1000
LSM 16623 1000
LSM 14177 1000
LSM 16622 1000
LSM 18299 1000
LSM 17740 1000
LSM 17042 1000
LSM 18299 1000
LSM 17740 1000
LSM 19904 1000
LSM 18089 1000
LSM 13130 1000
LSM 16133 1000
LSM 13689 1000
LSM 16343 1000
LSM 14737 1000
LSM 15295 1000
LSM 15365 1000
LSM 15505 1000
LSM 13270 1000
LSM 17670 1000
LSM 17670 1000
LSM 18159 1000
LSM 17670 1000
LSM 15225 1000
LSM 15854 1000
LSM 44908 1000
LSM 13480 1000
LSM 17250 1000
LSM 19486 1000
LSM 16693 1000
LSM 25353 1000
LSM 12641 1000
LSM 13829 1000
LSM 12990 1000
LSM 13759 1000
LSM 15156 1000
LSM 17181 1000
LSM 13969 1000
LSM 15225 1000
LSM 11734 1000
LSM 11873 1000
LSM 16343 1000
LSM 11454 1000
LSM 13689 1000
LSM 15645 1000
LSM 13829 1000
LSM 17181 1000
LSM 13759 1000
LSM 18438 1000
LSM 14737 1000
LSM 15644 1000
LSM 15365 1000
LSM 18229 1000
LSM 17181 1000
LSM 15854 1000
LSM 14247 1000
LSM 24863 1000
LSM 15854 1000
LSM 14807 1000
LSM 12362 1000
LSM 14387 1000
LSM 16134 1000
LSM 15156 1000
LSM 15924 1000
LSM 17460 1000
LSM 16134 1000
LSM 14807 1000
LSM 16832 2000
LSM 25352 2000
LSM 15574 2000
LSM 17251 2000
LSM 17181 2000
LSM 15645 2000
LSM 18020 2000
LSM 18927 2000
LSM 17111 2000
LSM 18718 2000
LSM 17111 2000
LSM 14387 2000
LSM 18089 2000
LSM 16063 2000
LSM 16203 2000
LSM 17251 2000
LSM 19067 2000
LSM 18787 2000
LSM 19905 2000
LSM 15645 2000
LSM 17251 2000
LSM 16901 2000
LSM 21301 2000
LSM 27867 2000
LSM 12781 2000
LSM 14317 2000
LSM 16623 2000
LSM 17251 2000
LSM 15784 2000
LSM 17251 2000
LSM 16134 2000
LSM 20743 2000
LSM 17320 2000
LSM 15365 2000
LSM 19067 2000
LSM 17670 2000
LSM 18229 2000
LSM 16133 2000
LSM 18927 2000
LSM 15714 2000
LSM 15645 2000
LSM 15505 2000
LSM 23536 2000
LSM 19975 2000
LSM 16133 2000
LSM 18578 2000
LSM 19905 2000
LSM 16762 2000
LSM 18997 2000
LSM 16762 2000
LSM 17600 2000
LSM 17461 2000
LSM 16622 2000
LSM 18298 2000
LSM 17111 2000
LSM 20185 2000
LSM 18508 2000
LSM 17530 2000
LSM 16134 2000
LSM 16692 2000
LSM 15854 2000
LSM 21371 2000
LSM 17879 2000
LSM 18718 2000
LSM 17042 2000
LSM 17251 2000
LSM 20324 2000
LSM 17600 2000
LSM 17600 2000
LSM 17950 2000
LSM 18229 2000
LSM 19556 2000
LSM 15086 2000
LSM 17670 2000
LSM 19137 2000
LSM 21441 2000
LSM 19626 2000
LSM 17740 2000
LSM 20114 2000
LSM 13829 2000
LSM 21022 2000
LSM 17181 2000
LSM 15714 2000
LSM 16273 2000
LSM 15854 2000
LSM 18229 2000
LSM 16343 2000
LSM 15854 2000
LSM 18997 2000
LSM 15504 2000
LSM 19626 2000
LSM 17670 2000
LSM 16343 2000
LSM 18578 2000
LSM 17321 2000
LSM 18997 2000
LSM 18997 2000
LSM 20953 2000
LSM 17670 2000
LSM 19555 2000
LSM 17390 2000
LSM 18368 2000
LSM 29543 2000
LSM 18508 2000
LSM 16622 2000
LSM 19625 2000
LSM 18997 2000
LSM 17809 2000
LSM 19416 2000
LSM 19485 2000
LSM 16832 2000
LSM 18508 2000
LSM 16273 2000
LSM 21721 2000
LSM 18369 2000
LSM 18648 2000
LSM 15435 2000
LSM 13828 2000
LSM 17809 2000
LSM 18997 2000
LSM 18089 2000
LSM 17111 2000
LSM 18229 2000
LSM 18997 2000
LSM 18089 2000
LSM 19626 2000
LSM 19207 2000
LSM 19346 2000
LSM 18647 2000
LSM 21861 2000
LSM 18228 2000
LSM 18788 2000
LSM 16343 2000
LSM 19277 2000
LSM 17600 2000
LSM 33385 2000
LSM 16133 2000
LSM 16623 2000
LSM 18578 2000
LSM 16623 2000
LSM 18020 2000
LSM 18089 2000
LSM 19904 2000
LSM 16692 2000
LSM 16762 2000
LSM 16832 2000
LSM 19067 2000
LSM 19136 2000
LSM 15715 2000
LSM 19555 2000
LSM 21860 2000
LSM 24305 2000
LSM 20743 2000
LSM 21371 2000
LSM 28146 2000
LSM 18717 2000
LSM 16901 2000
LSM 17181 2000
LSM 17041 2000
LSM 15714 2000
LSM 18997 2000
LSM 17531 2000
LSM 16622 2000
LSM 18578 2000
LSM 18788 2000
LSM 15785 2000
LSM 17740 2000
LSM 16273 2000
LSM 15644 2000
LSM 18927 2000
LSM 17880 2000
LSM 16762 2000
LSM 16064 2000
LSM 34781 2000
LSM 15226 2000
LSM 71239 2000
LSM 31219 2000
LSM 59156 2000
LSM 16412 2000
LSM 16762 2000
LSM 103855 2000
LSM 17251 2000
LSM 19835 2000
LSM 23397 2000
LSM 17740 2000
LSM 14247 2000
LSM 13829 2000
LSM 12013 2000
LSM 14178 2000
LSM 12431 2000
LSM 16553 2000
LSM 15784 2000
LSM 75220 2000
LSM 16692 2000
LSM 12991 2000
LSM 13270 2000
LSM 14318 2000
LSM 10895 2000
LSM 16692 2000
LSM 13898 2000
LSM 12781 2000
LSM 11245 2000
LSM 13340 2000
LSM 14667 2000
LSM 13828 2000
LSM 15784 2000
LSM 14387 2000
LSM 15714 2000
LSM 15994 2000
LSM 16762 2000
LSM 15156 2000
LSM 14876 2000
LSM 12851 2000
LSM 13480 2000
LSM 12781 2000
LSM 15645 2000
LSM 13899 2000
LSM 12781 2000
LSM 14457 2000
LSM 10476 2000
LSM 12781 2000
LSM 11734 2000
LSM 13410 2000
LSM 11244 2000
LSM 14946 2000
LSM 14248 2000
LSM 11385 2000
LSM 14387 2000
LSM 16483 2000
LSM 14807 2000
LSM 14876 2000
LSM 13410 2000
LSM 12851 2000
LSM 10127 2000
LSM 9918 2000
LSM 9568 2000
LSM 13759 2000
LSM 13410 2000
LSM 14807 2000
LSM 16203 2000
LSM 19067 2000
LSM 16273 2000
LSM 15854 2000
LSM 18369 2000
LSM 15645 2000
LSM 65581 2000
LSM 15714 2000
LSM 13829 2000
LSM 16064 2000
LSM 12502 2000
LSM 13968 2000
LSM 21930 2000
LSM 15645 2000
LSM 16413 2000
LSM 14387 2000
LSM 17251 2000
LSM 16622 2000
LSM 15295 2000
LSM 13340 2000
LSM 15854 2000
LSM 14108 2000
LSM 17251 2000
LSM 16413 2000
LSM 17042 2000
LSM 20184 2000
LSM 17530 2000
LSM 17461 2000
LSM 16273 2000
LSM 16273 2000
LSM 16273 2000
LSM 17111 2000
LSM 16273 2000
LSM 16413 2000
LSM 16273 2000
LSM 17530 2000
LSM 18578 2000
LSM 17670 2000
LSM 18648 2000
LSM 19346 2000
LSM 20603 2000
LSM 16482 2000
LSM 17740 2000
LSM 19416 2000
LSM 18717 2000
LSM 24934 2000
LSM 21022 2000
LSM 15016 2000
LSM 19835 2000
LSM 15644 2000
LSM 18578 2000
LSM 16203 2000
LSM 19067 2000
LSM 20115 2000
LSM 15644 2000
LSM 17251 2000
LSM 15296 2000
LSM 16622 2000
LSM 16273 2000
LSM 15644 2000
LSM 12781 2000
LSM 19136 2000
LSM 17600 2000
LSM 17461 2000
LSM 16622 2000
LSM 17251 2000
LSM 14527 2000
LSM 15225 2000
LSM 15155 2000
LSM 17810 2000
LSM 17461 2000
LSM 16831 2000
LSM 16134 2000
LSM 19206 2000
LSM 28425 2000
LSM 17111 2000
LSM 18228 2000
LSM 14876 2000
LSM 15085 2000
LSM 15295 2000
LSM 16692 2000
LSM 14806 2000
LSM 18997 2000
LSM 15645 2000
LSM 14876 2000
LSM 14457 2000
LSM 16134 2000
LSM 15295 2000
LSM 14667 2000
LSM 17041 2000
LSM 17531 2000
LSM 17739 2000
LSM 18019 2000
LSM 14737 2000
LSM 17531 2000
LSM 20534 2000
LSM 13899 2000
LSM 17390 2000
LSM 18089 2000
LSM 15645 2000
LSM 20184 2000
LSM 15365 2000
LSM 17600 2000
LSM 14248 2000
LSM 17181 2000
LSM 16133 2000
LSM 16622 2000
LSM 17390 2000
LSM 14666 2000
LSM 14666 2000
LSM 21023 2000
LSM 16273 2000
LSM 17740 2000
LSM 14178 2000
LSM 16762 2000
LSM 15156 2000
LSM 20114 2000
LSM 15854 2000
LSM 15365 2000
LSM 18508 2000
LSM 284115 2000
LSM 17041 2000
LSM 15714 2000
LSM 40928 2000
LSM 20393 2000
LSM 20813 2000
LSM 21092 2000
LSM 21022 2000
LSM 14667 2000
LSM 16273 2000
LSM 13619 2000
LSM 18229 2000
LSM 12990 2000
LSM 17530 2000
LSM 21860 2000
LSM 15924 2000
LSM 17740 2000
LSM 16343 2000
LSM 24794 2000
LSM 16832 2000
LSM 23327 2000
